registration_no,email,name,batch_name
GHR2025AI001,student001@college.edu,Student 001,C1
GHR2025AI002,student002@college.edu,Student 002,C1
GHR2025AI003,student003@college.edu,Student 003,C1
GHR2025AI004,student004@college.edu,Student 004,C1
GHR2025AI005,student005@college.edu,Student 005,C1
GHR2025AI006,student006@college.edu,Student 006,C1
GHR2025AI007,student007@college.edu,Student 007,C1
GHR2025AI008,student008@college.edu,Student 008,C1
GHR2025AI009,student009@college.edu,Student 009,C1
GHR2025AI010,student010@college.edu,Student 010,C1
GHR2025AI011,student011@college.edu,Student 011,C1
GHR2025AI012,student012@college.edu,Student 012,C1
GHR2025AI013,student013@college.edu,Student 013,C1
GHR2025AI014,student014@college.edu,Student 014,C1
GHR2025AI015,student015@college.edu,Student 015,C1
GHR2025AI016,student016@college.edu,Student 016,C1
GHR2025AI017,student017@college.edu,Student 017,C1
GHR2025AI018,student018@college.edu,Student 018,C1
GHR2025AI019,student019@college.edu,Student 019,C1
GHR2025AI020,student020@college.edu,Student 020,C1
GHR2025AI021,student021@college.edu,Student 021,C2
GHR2025AI022,student022@college.edu,Student 022,C2
GHR2025AI023,student023@college.edu,Student 023,C2
GHR2025AI024,student024@college.edu,Student 024,C2
GHR2025AI025,student025@college.edu,Student 025,C2
GHR2025AI026,student026@college.edu,Student 026,C2
GHR2025AI027,student027@college.edu,Student 027,C2
GHR2025AI028,student028@college.edu,Student 028,C2
GHR2025AI029,student029@college.edu,Student 029,C2
GHR2025AI030,student030@college.edu,Student 030,C2
GHR2025AI031,student031@college.edu,Student 031,C2
GHR2025AI032,student032@college.edu,Student 032,C2
GHR2025AI033,student033@college.edu,Student 033,C2
GHR2025AI034,student034@college.edu,Student 034,C2
GHR2025AI035,student035@college.edu,Student 035,C2
GHR2025AI036,student036@college.edu,Student 036,C2
GHR2025AI037,student037@college.edu,Student 037,C2
GHR2025AI038,student038@college.edu,Student 038,C2
GHR2025AI039,student039@college.edu,Student 039,C2
GHR2025AI040,student040@college.edu,Student 040,C2
GHR2025AI041,student041@college.edu,Student 041,C3
GHR2025AI042,student042@college.edu,Student 042,C3
GHR2025AI043,student043@college.edu,Student 043,C3
GHR2025AI044,student044@college.edu,Student 044,C3
GHR2025AI045,student045@college.edu,Student 045,C3
GHR2025AI046,student046@college.edu,Student 046,C3
GHR2025AI047,student047@college.edu,Student 047,C3
GHR2025AI048,student048@college.edu,Student 048,C3
GHR2025AI049,student049@college.edu,Student 049,C3
GHR2025AI050,student050@college.edu,Student 050,C3
GHR2025AI051,student051@college.edu,Student 051,C3
GHR2025AI052,student052@college.edu,Student 052,C3
GHR2025AI053,student053@college.edu,Student 053,C3
GHR2025AI054,student054@college.edu,Student 054,C3
GHR2025AI055,student055@college.edu,Student 055,C3
GHR2025AI056,student056@college.edu,Student 056,C3
GHR2025AI057,student057@college.edu,Student 057,C3
GHR2025AI058,student058@college.edu,Student 058,C3
GHR2025AI059,student059@college.edu,Student 059,C3
GHR2025AI060,student060@college.edu,Student 060,C3
